County,Date,Field_ID,Sex,Size_cm,Waterway,City,Probable_Cause
Taylor,2024-04-29,MNW24065,M,125,Steinhatchee River,Perry,Verified; Not Necropsied
Collier,2024-04-29,MSW24059,M,295,Gordon River,Naples,Human Related: Watercraft Collision
Sarasota,2024-04-29,MSW24060,F,182,Lyons Bay,Nokomis,Verified; Not Necropsied
Brevard,2024-04-30,MEC24056,M,103,Banana River,Satellite Beach,Perinatal (<= 150 cm)
Volusia,2024-04-30,MNE24020,M,136,Little Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Pinellas,2024-04-30,MNW24067,F,180,Long Bayou,St. Petersburg,Verified; Not Necropsied
Lee,2024-04-30,MSW24061,U,250,Matlacha Pass,Matlacha,Verified; Not Necropsied
Hillsborough,2024-05-01,MNW24068,U,120,Rocky Creek,Tampa,Perinatal (<= 150 cm)
Lee,2024-05-01,MSW24062,F,245,San Carlos Bay,Sanibel,Verified; Not Necropsied
Brevard,2024-05-02,MEC24057,M,148,Grand Canal,Satellite Beach,Perinatal (<= 150 cm)
Charlotte,2024-05-02,MSW24063,F,185,Peace River,Port Charlotte,Verified; Not Necropsied
Volusia,2024-05-03,MNE24021,F,135,Tomoka River,Ormond Beach,Perinatal (<= 150 cm)
Brevard,2024-05-04,MEC24058,M,132,Indian River,Merritt Island,Perinatal (<= 150 cm)
Charlotte,2024-05-04,MSW24064,F,275,Placida Harbor,Placida,Verified; Not Necropsied
St. Johns,2024-05-05,MNE24022,M,284,Matanzas River,St. Augustine,Human Related: Watercraft Collision
Pinellas,2024-05-05,MNW24069,U,120,Largo Inlet,Clearwater,Perinatal (<= 150 cm)
Okeechobee,2024-05-05,MSE24033,M,309,Government Cut,Okeechobee,Natural: Other
Brevard,2024-05-07,MEC24059,F,135,Indian River,Titusville,Perinatal (<= 150 cm)
Martin,2024-05-08,MSE24034,M,305,St. Lucie River,Stuart,Human Related: Flood Gate/Canal Lock
Lee,2024-05-08,SWFTm2428,F,208,Estero Bay,Ft. Myers Beach,Human Related: Watercraft Collision
Brevard,2024-05-09,MEC24060,M,340,Port Canaveral,Cape Canaveral,Human Related: Flood Gate/Canal Lock
Lake,2024-05-09,MEC24061,U,250,St. Johns River,Astor,Verified; Not Necropsied
Volusia,2024-05-11,MEC24063,F,334,Mosquito Lagoon,New Smyrna Beach,Verified; Not Necropsied
Volusia,2024-05-11,MNE24023,M,134,Strickland Creek,Ormond Beach,Perinatal (<= 150 cm)
Dixie,2024-05-11,MNW24070,F,130,Suwannee River,Suwannee,Perinatal (<= 150 cm)
Lee,2024-05-11,MSW24065,M,140,Hurricane Bay,Ft. Myers Beach,Perinatal (<= 150 cm)
Volusia,2024-05-12,MEC24062,F,282,Mosquito Lagoon,Oak Hill,Human Related: Watercraft Collision
Lake,2024-05-12,MEC24064,M,195,St. Johns River,Deland,Verified; Not Necropsied
